Treatment,Site ,SP size,MP size
Disturbed,KO,0.1,0.6
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.2,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.3,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.4,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.5,
Disturbed,KO,0.6,
Disturbed,KO,0.6,
Disturbed,KO,0.6,
Disturbed,KO,0.6,
Disturbed,KO,0.6,
Disturbed,KO,0.7,
Disturbed,KO,0.7,
Disturbed,KO,0.7,
Disturbed,KO,0.7,
Disturbed,KO,0.8,
Disturbed,KO,0.8,
Disturbed,KO,0.9,
Disturbed,KO,1,
Disturbed,KO,1,
Disturbed,KO,1.1,
Disturbed,KO,1.1,
Disturbed,KO,1.2,
Disturbed,KO,1.7,
Undisturbed,O,0.2,0.5
Undisturbed,O,0.2,0.6
Undisturbed,O,0.2,0.7
Undisturbed,O,0.2,0.7
Undisturbed,O,0.2,0.7
Undisturbed,O,0.2,1
Undisturbed,O,0.2,1
Undisturbed,O,0.3,1.2
Undisturbed,O,0.3,1.2
Undisturbed,O,0.3,1.3
Undisturbed,O,0.3,1.3
Undisturbed,O,0.3,1.4
Undisturbed,O,0.4,1.4
Undisturbed,O,0.4,1.4
Undisturbed,O,0.4,1.6
Undisturbed,O,0.4,1.6
Undisturbed,O,0.4,1.7
Undisturbed,O,0.4,
Undisturbed,O,0.4,
Undisturbed,O,0.4,
Undisturbed,O,0.4,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.5,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.6,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.7,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.8,
Undisturbed,O,0.9,
Undisturbed,O,0.9,
Undisturbed,O,0.9,
Undisturbed,O,0.9,
Undisturbed,O,0.9,
Undisturbed,O,0.9,
Undisturbed,O,1,
Undisturbed,O,1.1,
Undisturbed,O,1.1,
Undisturbed,O,1.2,
Undisturbed,O,1.2,
Undisturbed,O,1.2,
Undisturbed,O,1.5,
Undisturbed,O,1.5,
Undisturbed,O,1.6,
