Treatment ,Site,Sandprawn,Mudprawn,Orbinia angrapequensis,Unknown worm A,Betaeus jucundus,Spiroplax spiralis,Arabella Iricolor ,Notomastus latireceus,Unknown Nereid worm ,Thelepus sp. ,Scololepis sp. ,Euclymene sp,Syllid worm,Unknown worm B,Diogenes brevirostris,Paratylodiplax edwardsii,Turritella carininera,Nassarius capensis,Eurydice kensleyi,Antinoe lactea,Marphysa elitueni,Pontegeloides latipes,Balanaglossus capensis,Nephtys
Disturbed,KO1,2.7,0.0,1.3,0.3,1.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Disturbed,KO2,3.3,0.0,0.3,0.0,0.7,0.0,0.7,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Disturbed,KO3,5.3,0.0,0.7,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disturbed,KO4,1.3,0.7,0.3,0.0,0.0,0.0,0.7,0.3,0.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Disturbed,KO5,3.0,0.0,0.7,0.0,0.3,0.0,0.3,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.7,0.3,0.0,0.0
Disturbed,KO6,3.0,0.0,1.7,0.0,0.7,0.0,0.3,0.0,1.7,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Disturbed,KO7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disturbed,KO8,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O1,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O2,5.0,0.7,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Undisturbed,O3,7.0,1.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O4,4.3,1.0,0.3,0.3,0.0,0.0,0.0,0.7,0.3,0.7,1.3,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3
Undisturbed,O5,5.0,2.3,0.3,0.0,0.0,0.3,1.0,0.3,1.3,2.0,0.0,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O6,5.7,1.3,0.0,0.0,0.0,0.0,0.7,0.3,1.3,1.3,0.7,0.3,0.0,0.0,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Undisturbed,O8,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
